Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16, C43, C54, C55, C8",C0402,6,100nF,C60474
"C10, C17, C26, C27, C28, C29, C56, C57, C68, C69, C7",C0402,11,1nF,C14442
"C11, C12, C13, C14, C48, C49, C50, C51",C0402,8,220nF,C16772
"C15, C52, C53, C9",CAP-SMD_BD8.0-L8.3-W8.3-FD,4,220uF,C178534
"C18, C19, C20, C21, C22, C23",C0603,6,10nF,C100042
C2,C0603,1,100nF,C14663
"C3, C36",CAP-TH_L29.5-W12.7-P27.00-D0.8,2,6.8uF film,C21390242
"C30, C31, C32, C33, C41, C42, C45, C6",C0402,8,1uF,C22399609
"C34, C35, C39, C40",CP_Radial_D6.3mm_P2.50mm,4,10uF,
"C37, C4",CP_Radial_D6.3mm_P2.50mm,2,47uF,
"C38, C5",CP_Radial_D6.3mm_P2.50mm,2,22uF,
"C44, C46, C47, C60, C61, C70",C0805,6,680nF,C107133
"D1, D2",SOT1289_L5.8-W4.4-LS6.5-RD,2,PMEG060V100EPDZ,C552792
IN_1,AUDIO-SMD_PJ-320D-1,1,PJ-320D,C431535
"R1, R13, R18, R19, R6, R7, R8, R9",R0402,8,3.3,C137986
R10,R0805,1,5.6k,C4382
R11,R0603,1,3.2k,C861375
R12,R0603,1,47k,C2907042
"R14, R15, R2, R5",R0402,4,100k,C60491
"R20, R3, R4",R0402,3,10k,C60490
R21,R0603,1,75k,C23242
"U1, U10",HTSSOP-32_L11.0-W6.1-P0.65-LS8.1-BL,2,TPA3116D2DAD_C2865736,C2865736
U11,CONN-TH_DB301V-3.5-2P-GN,1,R_Tweeter,C695629
U12,CONN-TH_DB301V-3.5-2P-GN,1,R_Woofer,C695629
"U13, U14, U2, U3, U5, U6",IND-SMD_L7.2-W6.6_GPSR07X0,6,10uH,C5189958
U15,CONN-TH_DB301V-3.5-2P-GN,1,L_Tweeter,C695629
U16,CONN-TH_DB301V-3.5-2P-GN,1,L_Woofer,C695629
U17,CONN-TH_DB301V-3.5-2P-GN,1,L_Sub,C695629
U18,CONN-TH_DB301V-3.5-2P-GN,1,J1,C695629
U4,CONN-TH_XT60,1,XT60,C98733
"U7, U8",IND-TH_L23.0-W12.0-P8.00-D0.8,2,PDMTAT068125-151MLU,C3011544
U9,CAP-TH_BD18.0-P7.50-D0.8-FD,1,50PX4700MEFC18X40,C5115284
