Designator,Mid X,Mid Y,Rotation,Layer
C1,167.5800,-48.0000,0.0,top
C10,133.8800,-69.6700,180.0,top
C11,171.9200,-45.0000,0.0,top
C12,174.2500,-44.6700,90.0,top
C13,175.5800,-45.0000,0.0,top
C14,177.5800,-45.0000,180.0,top
C15,159.3900,-82.5000,0.0,top
C16,162.5800,-77.5000,180.0,top
C17,162.5800,-76.0000,180.0,top
C18,172.0000,-32.3000,270.0,top
C19,221.0000,-52.5000,0.0,top
C2,137.0000,-41.8000,90.0,top
C20,178.0000,-32.3000,270.0,top
C21,220.8750,-42.8750,0.0,top
C22,240.3000,-81.7500,180.0,top
C23,221.1350,-60.7500,0.0,top
C26,170.5000,-32.2200,270.0,top
C27,220.7200,-55.5000,180.0,top
C28,221.2800,-40.2500,180.0,top
C29,175.0000,-32.0800,90.0,top
C30,172.0000,-56.4200,90.0,top
C31,176.0000,-56.5800,90.0,top
C32,177.5000,-56.4200,90.0,top
C33,173.0000,-56.4200,90.0,top
C41,175.0000,-89.5800,270.0,top
C42,173.5000,-89.4200,90.0,top
C43,167.0800,-80.0000,0.0,top
C44,244.0000,-85.0000,0.0,top
C45,138.5000,-41.4200,270.0,top
C46,169.2500,-29.5000,180.0,top
C47,218.3000,-54.0000,90.0,top
C48,171.9200,-78.0000,0.0,top
C49,174.5000,-77.4200,90.0,top
C50,176.0800,-78.0000,0.0,top
C51,178.5000,-77.4200,90.0,top
C52,159.5000,-62.7300,90.0,top
C53,135.6200,-82.1000,270.0,top
C54,154.5000,-59.5400,270.0,top
C55,140.6200,-85.2900,90.0,top
C56,153.0000,-59.5400,270.0,top
C57,142.1200,-85.2900,90.0,top
C6,174.5000,-56.4200,270.0,top
C60,180.0000,-32.0000,270.0,top
C61,218.5850,-62.0000,90.0,top
C68,239.5000,-84.4450,90.0,top
C69,221.2550,-63.7500,180.0,top
C7,181.0000,-54.5800,90.0,top
C70,220.6750,-44.8750,0.0,top
C8,133.8800,-68.1700,180.0,top
C9,137.2300,-63.0000,180.0,top
H1,244.0000,-103.0000,0.0,top
H2,244.0000,-31.0000,0.0,top
H3,133.0000,-31.0000,0.0,top
H4,133.0000,-103.0000,0.0,top
R1,167.5700,-46.5000,0.0,top
R10,174.5000,-59.5000,90.0,top
R11,135.0250,-41.7550,90.0,top
R12,173.7750,-93.4850,270.0,top
R13,167.0700,-78.5000,0.0,top
R14,178.0000,-93.0700,90.0,top
R15,171.0000,-89.4300,90.0,top
R18,240.9650,-84.5550,90.0,top
R19,221.2650,-62.2500,0.0,top
R2,171.0000,-58.9300,90.0,top
R20,182.5000,-54.4300,90.0,top
R21,175.5000,-93.2500,90.0,top
R3,132.0000,-41.9300,270.0,top
R4,133.5000,-42.0700,270.0,top
R5,182.0700,-52.5000,180.0,top
R6,169.0000,-32.0700,270.0,top
R7,220.8700,-54.0000,0.0,top
R8,176.5000,-31.9300,270.0,top
R9,221.1050,-41.3750,0.0,top
U1,175.0200,-50.5330,0.0,top
U10,175.3700,-83.2800,0.0,top
U13,227.1500,-70.0250,180.0,top
U14,227.1500,-62.1750,180.0,top
U2,166.2500,-37.7500,90.0,top
U3,227.1500,-54.0000,180.0,top
U5,179.0000,-38.5000,90.0,top
U6,227.1500,-43.0000,180.0,top
in_1,136.0875,-53.4000,0.0,top
