Designator,Footprint,Quantity,Value,LCSC Part #
C1,C0603,1,1uf,C1592
"D1, D2",SOT1289_L5.8-W4.4-LS6.5-RD,2,PMEG060V100EPDZ,C552792
"J1, J2, J3, J4, J5, J6, J7, J8",JST_VH_B2P-VH-B_1x02_P3.96mm_Vertical,8,Conn_01x02,
J9,PinHeader_1x02_P2.54mm_Horizontal,1,Conn_01x02,
LED1,LED0805-R-RD,1,0805G,C2297
R1,R2010,1,1k,C2974087
R2,R0603,1,270Ω,C22966
R3,R0402,1,200k,C25764
U1,R0805,1,10k,C2907219
U2,ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP,1,CH224K,C970725
"U3, U6, U7, U8",CONN-TH_DB301V-3.5-2P-GN,4,~,C695629
U4,CONN-TH_XT60,1,XT60,C98733
U5,CAP-TH_BD18.0-P7.50-D0.8-FD,1,50PX4700MEFC18X40,C5115284
USB1,USB-C-SMD_TYPE-C-16PIN-2MD-073,1,TYPE-C 16PIN 2MD,C2765186
