Designator,Mid X,Mid Y,Rotation,Layer
AE1,159.25,-37.5,90.0,top
BOOT,162.855,-85.15,0.0,top
C1,168.08,-57.0,0.0,top
C10,171.5,-49.58,270.0,top
C11,174.0,-53.0,270.0,top
C12,177.5,-56.08,90.0,top
C13,175.95,-60.95,90.0,top
C14,168.08,-53.5,0.0,top
C15,166.5,-54.92,90.0,top
C16,159.58,-62.0,0.0,top
C17,169.5,-60.08,90.0,top
C18,167.5,-86.58,90.0,top
C19,155.355,-86.58,90.0,top
C2,169.5,-56.145,90.0,top
C20,148.325,-56.065,90.0,top
C21,149.5,-55.92,90.0,top
C22,192.5,-63.08,270.0,top
C23,193.5,-63.08,270.0,top
C24,188.0,-67.08,270.0,top
C25,189.0,-67.0,270.0,top
C26,197.58,-69.0,0.0,top
C27,197.58,-70.0,0.0,top
C28,188.58,-71.0,0.0,top
C29,188.58,-72.15,0.0,top
C3,168.08,-58.0,0.0,top
C30,195.08,-73.5,0.0,top
C31,191.42,-73.5,0.0,top
C32,193.0,-74.42,90.0,top
C33,189.92,-79.0,180.0,top
C34,196.5,-78.42,270.0,top
C35,194.5,-81.25,270.0,top
C36,195.92,-76.5,0.0,top
C37,196.08,-75.0,0.0,top
C4,168.08,-59.0,0.0,top
C5,173.0,-61.92,90.0,top
C6,172.42,-53.25,0.0,top
C7,170.08,-53.0,0.0,top
C8,175.58,-52.5,0.0,top
C9,175.58,-53.5,180.0,top
CN1,206.3,-76.5,180.0,top
CN2,206.3875,-65.5,180.0,top
D2,159.5,-63.5,0.0,top
EN,150.855,-85.0,0.0,top
H1,142.0,-89.0,0.0,top
H2,214.0,-89.0,0.0,top
H3,142.0,-37.0,0.0,top
H4,214.0,-37.0,0.0,top
J1,145.5325,-72.75,90.0,top
L1,167.92,-56.0,180.0,top
L2,171.5,-52.0,90.0,top
L3,168.08,-54.5,0.0,top
R1,170.57,-54.0,180.0,top
R2,153.5,-50.07,90.0,top
R3,168.5,-60.57,270.0,top
R4,153.5,-57.93,90.0,top
R5,152.0,-57.93,90.0,top
R6,150.5,-58.0,90.0,top
R7,190.57,-63.5,180.0,top
R8,194.5,-75.43,270.0,top
U1,173.43,-57.5,0.0,top
U2,180.87,-56.97,90.0,top
U3,152.75,-54.0,90.0,top
U4,156.0,-72.0,0.0,top
U5,193.07,-68.63,270.0,top
U6,193.5,-78.25,0.0,top
USB1,141.9125,-53.68,270.0,top
X1,174.6,-50.35,0.0,top
