Designator,Footprint,Quantity,Value,LCSC Part #
AE1,ANT-SMD_L3.2-W1.6,1,2450AT18A100E,C89334
"BOOT1, EN1",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,2,TS-1187A-B-A-B,C318884
"C1, C13, C32, C33, C34, C35, C8",C0402,7,1uF,C52923
"C10, C11",C0402,2,15pf,C1548
"C12, C17, C18, C19, C2, C20, C22, C25, C26, C29, C3, C5",C0402,12,0.1uF,C1525
C14,C0402,1,GRM1555C1H2R7BA01D,C88928
C15,C0402,1,GRM1555C1H2R0BA01D,C85937
"C16, C23, C24, C27, C28, C4",C0402,6,10uF,C15525
C21,C0402,1,CL05A475KP5NRNC,C23733
"C30, C31, C36, C37",C0402,4,CL05A225KO5NQNC,C170151
C38,C0402,1,1pF,C29266
C6,C0402,1,CC0402KRX7R9BB103,C15195
C7,C0402,1,CC0402KRX7R9BB332,C26404
C9,C0402,1,CC0402JRNPO9BN101,C1546
"CN1, CN2",AUDIO-SMD_PJ-320D-1,2,PJ-320D,C431535
D2,SOD-323_L1.7-W1.3-LS2.5-BI-1,1,"PESD3V3L1BA,115",C51450
"D3, D4",SOT1289_L5.8-W4.4-LS6.5-RD,2,PMEG060V100EPDZ,C552792
J1,JST_VH_B2P-VH-B_1x02_P3.96mm_Vertical,1,Conn_01x02,
J3,PinHeader_1x06_P2.54mm_Horizontal,1,Conn_01x06_Socket,
J4,PinHeader_1x04_P2.54mm_Horizontal,1,Conn_01x04,
JP1,RF-SMD_FRF05002-JSS103M,1,U.FL-R-SMT-1,C88374
L1,L0402,1,LQG15HS2N0S02D,C18216
L2,L0402,1,15nH,C27143
L3,L0402,1,LQG15HS2N7S02D,C77108
L4,IND-SMD_L1.0-W0.5-2,1,3.9nH,C98062
L5,L0402,1,2.7nH,C77108
R1,R0402,1,RC-02K2002FT,C25765
R2,R0402,1,499Ω,C2960788
"R3, R7",R0402,2,RC0402FR-0710KL,C25744
R4,R0402,1,RC0402FR-071KL,C11702
R5,R0402,1,AR02DTD4752,C319604
R6,R0402,1,CRCW040222K1FKED,C844504
R8,R0402,1,0402WGF0000TCE,C17168
R9,R0603,1,RC0603JR-070RL,C22966
U1,QFN-48_L5.0-W5.0-P0.35-BL-EP3.7,1,ESP32-D0WD-V3,C967021
U2,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q32JVSSIQ_C179173,C179173
U3,QFN-24_L4.0-W4.0-P0.50-TL-EP2.6,1,CP2102N-A02-GQFN24R,C969151
U4,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,1,SPX1117M3-L-3-3/TR,C6862
U5,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,1,PCM5102APW,C1520792
U6,WQFN-16_L3.0-W3.0-P0.50-TL-EP1.6,1,TPA6132A2RTER,C69901
USB1,USB-C-SMD_TYPE-C-16PIN-2MD-073,1,TYPE-C 16PIN 2MD,C2765186
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,XL2EL89CPI-111YLC-40M,C5444549
