Designator,Mid X,Mid Y,Rotation,Layer
AE1,159.25,-37.5,90.0,top
BOOT1,162.855,-85.15,0.0,top
C16,159.58,-62.0,0.0,top
C18,167.5,-86.58,90.0,top
C19,155.355,-86.58,90.0,top
C20,148.325,-56.065,90.0,top
C21,149.5,-55.92,90.0,top
C22,192.5,-63.08,270.0,top
C23,193.5,-63.08,270.0,top
C24,188.0,-67.08,270.0,top
C25,189.0,-67.0,270.0,top
C26,197.58,-69.0,0.0,top
C27,197.58,-70.0,0.0,top
C28,188.58,-71.0,0.0,top
C29,188.58,-72.15,0.0,top
C30,195.08,-73.5,0.0,top
C31,191.42,-73.5,0.0,top
C32,193.0,-74.42,90.0,top
C33,189.92,-79.0,180.0,top
C34,196.5,-78.42,270.0,top
C35,194.5,-81.25,270.0,top
C36,195.92,-76.5,0.0,top
C37,196.08,-75.0,0.0,top
C38,162.296985,-42.046985,135.0,top
C39,168.98,-55.55,0.0,top
C40,168.93,-56.8,0.0,top
CN1,206.3,-76.5,180.0,top
CN2,206.3875,-65.5,180.0,top
D2,159.5,-63.5,0.0,top
EN1,150.855,-85.0,0.0,top
H1,142.0,-89.0,0.0,top
H2,214.0,-89.0,0.0,top
H3,142.0,-37.0,0.0,top
H4,214.0,-37.0,0.0,top
JP1,165.462599,-47.523311,315.0,top
L4,161.25,-40.75,315.0,top
L5,160.703015,-43.046985,45.0,top
Q1,166.4,-66.45,180.0,top
Q2,162.4,-66.5,180.0,top
R10,163.05,-62.93,270.0,top
R11,165.17,-68.75,0.0,top
R4,153.5,-57.93,90.0,top
R5,152.0,-57.93,90.0,top
R6,150.5,-58.0,90.0,top
R7,190.57,-63.5,180.0,top
R8,194.5,-75.43,270.0,top
R9,162.75,-44.25,270.0,top
U19,174.25,-56.57,0.0,top
U3,152.75,-54.0,90.0,top
U4,156.0,-72.0,0.0,top
U5,193.07,-68.63,270.0,top
U6,193.5,-78.25,0.0,top
USB1,141.9125,-53.68,270.0,top
